Neigh_ID,Population,xcoord,ycoord,numfires
128,1348,507.8356,44.3765092,48.3976014
129,5547,507.31407,44.24095358,199.1554117
130,8012,507.7137,44.62180553,287.6569602
131,9421,507.37992,43.69255217,338.2446608
132,16541,508.43947,44.61745063,593.8759085
133,5016,508.62181,45.23024339,180.0907779
134,4048,507.86901,45.1943724,145.3364173
135,3558,507.81999,46.14413025,127.7438173
136,3821,507.79551,45.80332384,137.1863761
137,1565,507.75626,45.49591704,56.18860993
138,750,507.13287,46.31881415,26.92744885
139,8335,507.24387,45.63552175,299.2537149
140,2483,507.01488,45.28486433,89.14780732
141,7787,508.56693,45.59729679,279.5787256
142,21032,506.27503,45.57054448,755.1174722
143,12921,506.40741,46.08044804,463.9060888
144,33906,505.31293,46.38930272,1217.336108
145,8016,507.48319,48.10423276,287.8005733
146,713,510.8039,45.21156678,25.59902804
147,3509,510.50109,45.69327498,125.9845573
148,2026,510.84858,45.67860869,72.74001516
149,18750,509.22622,47.36480665,673.1862212
150,51,508.56199,46.73760322,1.831066522
151,15869,506.54544,47.16179258,569.7489144
152,16,507.74764,47.28876599,0.574452242
153,1264,518.80462,55.30977653,45.38172713
154,7798,510.02289,41.31300578,279.9736615
155,0,510.02059,40.32919221,0
